country_id,region,code,default_name,name:ar_EG,name:en_US
EG,Beheira,NBY,"New Nubariya","النوبارية الجديدة","New Nubariya"
EG,Beheira,NAT,"Natrn Valley","وادى النطرون","Natrn Valley"
EG,,MIG,"Mit Ghamr","ميت غمر","Mit Ghamr"
EG,,Aga,Aga,أجا,Aga
EG,,MAS,Mansoura,المنصورة,Mansoura
EG,,TAL,Talkha,طلخا,Talkha
EG,,AST,"As Sinaytah",السنيطه,"As Sinaytah"
EG,,BSH,Bishla,بشلا,Bishla
EG,,KAN,"Kafr Abu Nabhan","كفر ابونيهان","Kafr Abu Nabhan"
EG,,TUM,Tunnamil,طنامل,Tunnamil
EG,,MNS,"Minyat Sandub",سندوب,"Minyat Sandub"
EG,,MKM,"Mit Khamees","ميت خميس","Mit Khamees"
EG,Suez,SEZ,Suez,السويس,Suez
EG,Suez,ARB,"Al Arbaein",الأربعين,"Al Arbaein"
EG,Suez,ATQ,Attaqa,عتاقة,Attaqa
EG,Suez,GNN,"Al Ganaien",الجناين,"Al Ganaien"
EG,Suez,FSL,Faisal,فيصل,Faisal
EG,Suez,SKH,"Al Ain Al Sokhna","العين السخنة","Al Ain Al Sokhna"
EG,Ismailia,ISM,Ismailia,الإسماعيلية,Ismailia
EG,Ismailia,TLK,"Tell El Kebir","التل الكبير","Tell El Kebir"
EG,Ismailia,FAI,Faied,فايد,Faied
EG,Ismailia,QNS,"Qantara Sharq","قنطرة شرق","Qantara Sharq"
EG,Ismailia,QNG,"Qantara Gharb","قنطرة غرب","Qantara Gharb"
EG,Ismailia,ASW,"Abu Suwir","أبو صوير","Abu Suwir"
EG,Ismailia,KAS,El-Kasasin,القصاصين,El-Kasasin
EG,,SHP,"Sharq Port Said","شرق بورسعيد","Sharq Port Said"
EG,,GHP,"Ganoub Port Said","جنوب بورسعيد","Ganoub Port Said"
EG,,POF,"Port Fuad",بورفؤاد,"Port Fuad"
EG,,DAW,"Al Dawahy",الضواحي,"Al Dawahy"
EG,,MON,"Al Monakh",المناخ,"Al Monakh"
EG,,ZOH,"Al Zohour",الزهور,"Al Zohour"
EG,,ARA,"Al Arab",العرب,"Al Arab"
EG,,MGH,Maghagha,مغاغة,Maghagha
EG,,BNM,"Bani Mazar","بني مزار","Bani Mazar"
EG,,MTY,Matay,مطاي,Matay
EG,,SAM,Samalut,سمالوط,Samalut
EG,,MIN,Minya,المنيا,Minya
EG,,ABQ,"Abu Qurqas","أبو قرقاص","Abu Qurqas"
EG,,MLW,Mallawi,ملوي,Mallawi
EG,,DMW,"Dayr Mawas","دير مواس","Dayr Mawas"
EG,,IDW,"El Idwa",العدوة,"El Idwa"
EG,,BSW,"Beni Suef","بني سويف","Beni Suef"
EG,,WAS,"Al Wasta",الواسطى,"Al Wasta"
EG,,NAS,Nasser,ناصر,Nasser
EG,,IHN,Ihnasya,إهناسيا,Ihnasya
EG,,BIB,Biba,ببا,Biba
EG,,SMS,Sumusta,سمسطا,Sumusta
EG,,FAS,"Al Fashn",الفشن,"Al Fashn"
EG,,NBN,"New Bani Suef","بني سويف الجديدة","New Bani Suef"
